cid,molecularformula,molecularweight,smiles,inchikey,iupacname,xlogp,tpsa,complexity,hbonddonorcount,hbondacceptorcount,rotatablebondcount,heavyatomcount,query_name,charge,xlogp_source
,C13H19N3O4,281.31,,CHIFOSRWCNZCFN-UHFFFAOYSA-N,"3,4-dimethyl-2,6-dinitro-N-pentan-3-ylaniline",5.2,104.0,,1.0,5.0,4.0,20.0,pendimethalin,0.0,pubchem
5569.0,C13H16F3N3O4,335.28,CCCN(CCC)C1=C(C=C(C=C1[N+](=O)[O-])C(F)(F)F)[N+](=O)[O-],ZSDSQXJSNMTJDA-UHFFFAOYSA-N,"2,6-dinitro-N,N-dipropyl-4-(trifluoromethyl)aniline",5.3,94.9,392.0,0.0,8.0,5.0,23.0,trifluralin,,pubchem
3030.0,C8H6Cl2O3,221.03,COC1=C(C=CC(=C1C(=O)O)Cl)Cl,IWEDIXLBFLAXBO-UHFFFAOYSA-N,"3,6-dichloro-2-methoxybenzoic acid",2.2,46.5,198.0,1.0,3.0,2.0,13.0,dicamba,,pubchem
52999.0,C14H15N5O6S,381.37,CC1=NC(=NC(=N1)OC)NC(=O)NS(=O)(=O)C2=CC=CC=C2C(=O)OC,RSMUVYRMZCOLBH-UHFFFAOYSA-N,"methyl 2-[(4-methoxy-6-methyl-1,3,5-triazin-2-yl)carbamoylsulfamoyl]benzoate",1.5,158.0,609.0,2.0,9.0,6.0,26.0,metsulfuron-methyl,,pubchem
54738.0,C13H15N3O3,261.28,CC(C)C1(C(=O)NC(=N1)C2=C(C=CC=N2)C(=O)O)C,CLQMBPJKHLGMQK-UHFFFAOYSA-N,2-(4-methyl-5-oxo-4-propan-2-yl-1H-imidazol-2-yl)pyridine-3-carboxylic acid,1.2,91.7,433.0,2.0,5.0,3.0,19.0,imazapyr,,pubchem
54740.0,C15H19N3O3,289.33,CCC1=CC(=C(N=C1)C2=NC(C(=O)N2)(C)C(C)C)C(=O)O,XVOKUMIPKHGGTN-UHFFFAOYSA-N,5-ethyl-2-(4-methyl-5-oxo-4-propan-2-yl-1H-imidazol-2-yl)pyridine-3-carboxylic acid,2.0,91.7,475.0,2.0,5.0,4.0,21.0,imazethapyr,,pubchem
50897.0,C19H20F3NO4,383.4,CCCCOC(=O)C(C)OC1=CC=C(C=C1)OC2=NC=C(C=C2)C(F)(F)F,VAIZTNZGPYBOGF-UHFFFAOYSA-N,butyl 2-[4-[[5-(trifluoromethyl)-2-pyridinyl]oxy]phenoxy]propanoate,4.5,57.7,453.0,0.0,8.0,9.0,27.0,fluazifop-butyl,,pubchem
54680676.0,C31H23BrO3,523.4,C1C(CC2=CC=CC=C2C1C3=C(C4=CC=CC=C4OC3=O)O)C5=CC=C(C=C5)C6=CC=C(C=C6)Br,VEUZZDOCACZPRY-UHFFFAOYSA-N,"3-[3-[4-(4-bromophenyl)phenyl]-1,2,3,4-tetrahydronaphthalen-1-yl]-4-hydroxychromen-2-one",7.6,46.5,791.0,1.0,3.0,3.0,35.0,brodifacoum,,pubchem
54680085.0,C30H23BrO4,527.4,C1=CC=C(C=C1)C(CC(C2=CC=C(C=C2)C3=CC=C(C=C3)Br)O)C4=C(C5=CC=CC=C5OC4=O)O,OWNRRUFOJXFKCU-UHFFFAOYSA-N,3-[3-[4-(4-bromophenyl)phenyl]-3-hydroxy-1-phenylpropyl]-4-hydroxychromen-2-one,6.1,66.8,743.0,2.0,4.0,6.0,35.0,bromadiolone,,pubchem
25113606.0,P2Zn3,258.1,[P-3].[P-3].[Zn+2].[Zn+2].[Zn+2],IGSZOEHCOKSBEI-UHFFFAOYSA-N,trizinc bis(phosphorus(3-)),,0.0,0.0,0.0,2.0,0.0,5.0,zinc phosphide,0.0,inorganic — logP not applicable
